Rank,Name,Symbol,Market Cap,Price,Circulating Supply,Volume(24h),% 1h,% 24h,% 7d,
21,Litecoin,LTC,"$5,916,127,893 ",$78.29 ,"75,558,468 LTC","$375,595,072 ",0.59%,-0.63%,-1.19%,
22,Polkadot,DOT,"$5,785,792,681 ",$3.69 ,"1,567,278,251 DOT *","$150,015,807 ",0.80%,-0.94%,-5.13%,
23,Dai,DAI,"$5,365,411,074 ",$1.00 ,"5,365,382,703 DAI *","$994,534,131 ",0.00%,-0.02%,<0.01%,
24,Hyperliquid,HYPE,"$5,153,288,891 ",$15.43 ,"333,928,180 HYPE *","$121,597,758 ",-0.98%,-3.49%,37.49%,
25,Pi,PI,"$5,151,980,458 ",$0.75 ,"6,860,313,630 PI *","$427,271,665 ",0.25%,-2.55%,19.63%,
26,Bitget Token,BGB,"$5,145,293,722 ",$4.28 ,"1,200,000,000 BGB *","$67,738,409 ",0.89%,-3.33%,-1.83%,
27,Ethena USDe,USDe,"$4,992,664,303 ",$1.00 ,"4,998,359,716 USDe *","$78,052,208 ",0.00%,0.00%,-0.01%,
28,Monero,XMR,"$3,819,694,075 ",$207.06 ,"18,446,744 XMR","$58,042,001 ",0.00%,-0.75%,-2.06%,
29,Uniswap,UNI,"$3,360,872,734 ",$5.34 ,"628,494,055 UNI *","$107,199,922 ",0.34%,-3.36%,-4.87%,
30,OKB,OKB,"$3,215,798,016 ",$53.59 ,"60,000,000 OKB *","$9,771,096 ",-0.13%,-0.17%,-1.42%,
31,Aptos,APT,"$3,051,755,688 ",$4.94 ,"617,113,971 APT *","$119,438,790 ",0.21%,-0.07%,5.70%,
32,Pepe,PEPE,"$3,021,662,218 ",$0.06 ,"420,689,899,653,544 PEPE *","$535,954,393 ",0.36%,-0.47%,4.62%,
33,Ondo,ONDO,"$2,765,930,878 ",$0.88 ,"3,159,107,529 ONDO *","$154,129,286 ",0.59%,-4.50%,11.45%,
34,GateToken,GT,"$2,765,803,272 ",$22.50 ,"122,910,588 GT *","$9,138,481 ",1.08%,-1.20%,2.41%,
35,NEAR Protocol,NEAR,"$2,588,633,949 ",$2.14 ,"1,205,568,726 NEAR *","$121,789,342 ",0.40%,-2.45%,-8.19%,
36,Internet Computer,ICP,"$2,460,652,541 ",$5.06 ,"485,455,843 ICP *","$46,098,041 ",0.29%,-2.99%,2.87%,
37,Mantle,MNT,"$2,356,341,928 ",$0.70 ,"3,364,694,383 MNT *","$297,457,174 ",0.21%,-2.26%,-4.32%,
38,Cronos,CRO,"$2,306,032,443 ",$0.09 ,"26,571,560,696 CRO *","$23,694,269 ",-0.32%,-4.38%,-2.54%,
39,Ethereum Classic,ETC,"$2,303,738,636 ",$15.20 ,"151,506,468 ETC","$83,195,827 ",0.84%,-2.58%,-2.23%,
40,Aave,AAVE,"$2,128,617,685 ",$140.96 ,"15,099,809 AAVE *","$194,528,747 ",0.23%,-4.49%,-2.11%,
41,Bittensor,TAO,"$2,110,628,801 ",$246.16 ,"8,574,011 TAO *","$65,582,109 ",0.52%,-5.22%,18.26%,
42,Render,RENDER,"$1,998,739,508 ",$3.86 ,"517,716,590 RENDER *","$88,537,037 ",0.35%,-2.52%,28.48%,
43,VeChain,VET,"$1,969,870,397 ",$0.02 ,"85,985,041,177 VET *","$56,860,395 ",0.43%,-1.19%,7.96%,
44,Kaspa,KAS,"$1,942,025,362 ",$0.07 ,"26,014,948,573 KAS","$90,838,239 ",0.77%,-0.83%,23.48%,
45,POL (prev. MATIC),POL,"$1,940,174,120 ",$0.19 ,"10,398,846,835 POL *","$82,626,018 ",-0.22%,-2.25%,1.66%,
46,Ethena,ENA,"$1,770,884,018 ",$0.32 ,"5,553,125,000 ENA *","$153,063,602 ",0.61%,-2.05%,8.08%,
47,First Digital USD,FDUSD,"$1,743,761,338 ",$1.00 ,"1,747,264,934 FDUSD *","$1,897,638,186 ",<0.01%,<0.01%,0.21%,
48,OFFICIAL TRUMP,TRUMP,"$1,701,141,156 ",$8.50 ,"199,999,422 TRUMP *","$391,865,421 ",0.40%,-0.34%,-3.23%,
49,Cosmos,ATOM,"$1,637,552,447 ",$4.18 ,"390,934,204 ATOM *","$98,779,793 ",-0.02%,-2.95%,-11.20%,
50,Filecoin,FIL,"$1,616,385,492 ",$2.48 ,"649,874,626 FIL","$87,825,576 ",0.56%,-1.89%,-3.69%,
51,Algorand,ALGO,"$1,583,503,146 ",$0.18 ,"8,566,753,354 ALGO *","$70,785,378 ",0.41%,-4.34%,4.94%,
52,Celestia,TIA,"$1,492,953,888 ",$2.49 ,"597,598,244 TIA *","$57,429,150 ",-0.11%,-5.20%,-0.34%,
53,Sonic (prev. FTM),S,"$1,454,150,368 ",$0.50 ,"2,880,000,000 S *","$99,964,736 ",0.59%,-4.42%,7.56%,
54,Arbitrum,ARB,"$1,400,296,652 ",$0.30 ,"4,617,913,336 ARB *","$92,126,498 ",0.57%,-1.67%,2.57%,
55,KuCoin Token,KCS,"$1,286,037,255 ",$10.28 ,"125,043,918 KCS *","$767,890 ",-0.37%,-2.67%,12.00%,
56,XDC Network,XDC,"$1,252,659,485 ",$0.08 ,"15,701,485,902 XDC *","$31,451,644 ",1.30%,5.22%,16.72%,
57,DeXe,DEXE,"$1,243,509,348 ",$14.85 ,"83,733,366 DEXE *","$10,841,729 ",-0.64%,-1.06%,-1.08%,
58,Artificial Superintelligence Alliance,FET,"$1,224,090,978 ",$0.51 ,"2,392,833,367 FET *","$139,113,237 ",1.07%,6.40%,25.45%,
59,Maker,MKR,"$1,145,904,180 ","$1,351.18 ","848,074 MKR *","$56,101,826 ",0.39%,-3.68%,2.56%,
60,Optimism,OP,"$1,127,426,954 ",$0.68 ,"1,657,120,774 OP *","$80,965,988 ",0.80%,-1.48%,5.39%,
61,Jupiter,JUP,"$1,120,199,867 ",$0.39 ,"2,844,383,333 JUP *","$39,039,828 ",0.34%,-3.70%,6.96%,
62,Story,IP,"$1,101,123,587 ",$4.10 ,"268,372,625 IP *","$52,166,009 ",-0.56%,2.34%,-0.87%,
63,Bonk,BONK,"$1,032,026,061 ",$0.00 ,"78,473,518,178,915 BONK *","$134,153,767 ",-0.22%,-2.22%,23.76%,
64,Flare,FLR,"$989,820,288 ",$0.02 ,"63,055,607,477 FLR *","$15,141,719 ",0.65%,-1.06%,20.63%,
65,EOS,EOS,"$973,730,661 ",$0.62 ,"1,558,639,197 EOS *","$427,100,068 ",0.08%,-2.47%,-16.42%,
66,Worldcoin,WLD,"$959,159,390 ",$0.76 ,"1,255,819,949 WLD *","$94,918,990 ",-0.27%,-2.69%,8.96%,
67,Stacks,STX,"$949,225,494 ",$0.62 ,"1,521,339,450 STX","$21,333,799 ",0.24%,-3.90%,5.18%,
68,Sei,SEI,"$866,831,371 ",$0.18 ,"4,882,361,111 SEI *","$114,407,570 ",0.73%,0.88%,13.67%,
69,PayPal USD,PYUSD,"$834,572,059 ",$1.00 ,"834,935,287 PYUSD *","$35,312,933 ",<0.01%,-0.02%,-0.03%,
70,Quant,QNT,"$822,773,230 ",$68.15 ,"12,072,738 QNT *","$18,298,321 ",1.62%,1.47%,-0.60%,
71,Fartcoin,FARTCOIN,"$820,276,714 ",$0.82 ,"999,998,256 FARTCOIN *","$295,421,280 ",-1.86%,-11.14%,80.71%,
72,Injective,INJ,"$817,699,079 ",$8.17 ,"99,970,935 INJ *","$51,367,535 ",0.56%,-3.56%,3.59%,
73,JasmyCoin,JASMY,"$809,887,405 ",$0.02 ,"49,444,999,677 JASMY *","$237,790,304 ",1.41%,1.51%,64.65%,
74,Curve DAO Token,CRV,"$800,961,512 ",$0.61 ,"1,317,986,550 CRV *","$218,840,425 ",1.18%,-2.26%,30.59%,
75,Tether Gold,XAUt,"$799,181,330 ","$3,241.79 ","246,524 XAUt *","$12,906,931 ",0.04%,0.05%,6.06%,
76,The Graph,GRT,"$790,985,767 ",$0.08 ,"9,775,189,789 GRT *","$30,268,723 ",0.57%,-1.65%,1.55%,
77,Movement,MOVE,"$769,710,544 ",$0.31 ,"2,450,000,000 MOVE *","$81,867,374 ",0.11%,-8.70%,-11.67%,
78,Immutable,IMX,"$763,025,901 ",$0.43 ,"1,792,834,764 IMX *","$27,110,350 ",0.34%,-2.76%,5.10%,
79,Four,FORM,"$753,006,066 ",$1.97 ,"381,867,255 FORM *","$16,051,695 ",0.28%,-2.49%,-0.03%,
80,PAX Gold,PAXG,"$732,857,180 ","$3,251.47 ","225,393 PAXG *","$39,284,626 ",0.32%,0.32%,5.99%,
81,Theta Network,THETA,"$732,520,119 ",$0.73 ,"1,000,000,000 THETA *","$29,563,712 ",0.85%,-2.73%,-1.92%,
82,AB,AB,"$702,242,892 ",$0.01 ,"53,409,793,356 AB","$76,176,585 ",-0.38%,-0.06%,9.27%,
83,Onyxcoin,XCN,"$689,669,576 ",$0.02 ,"33,206,545,388 XCN *","$243,836,056 ",-2.87%,5.28%,121.95%,
84,Helium,HNT,"$684,502,520 ",$3.80 ,"179,760,926 HNT","$77,237,047 ",0.77%,19.79%,40.91%,
85,Nexo,NEXO,"$666,120,165 ",$1.03 ,"646,145,840 NEXO *","$9,378,936 ",1.37%,-2.45%,1.77%,
86,Lido DAO,LDO,"$654,723,600 ",$0.73 ,"897,877,244 LDO *","$56,602,137 ",0.38%,-4.78%,-7.40%,
87,Gala,GALA,"$646,450,716 ",$0.01 ,"43,964,518,261 GALA *","$46,342,830 ",0.55%,-2.31%,3.36%,
88,The Sandbox,SAND,"$645,091,052 ",$0.26 ,"2,481,357,126 SAND *","$55,227,374 ",0.12%,-3.96%,3.26%,
89,BitTorrent [New],BTT,"$628,052,891 ",$0.07 ,"986,061,142,857,000 BTT *","$26,064,473 ",-0.35%,1.74%,1.06%,
90,IOTA,IOTA,"$611,110,805 ",$0.16 ,"3,707,948,285 IOTA *","$24,662,111 ",0.84%,-2.06%,4.44%,
91,Walrus,WAL,"$609,567,950 ",$0.48 ,"1,282,708,333 WAL *","$61,188,016 ",0.27%,-5.44%,-5.33%,
92,Kaia,KAIA,"$608,215,244 ",$0.10 ,"5,992,118,610 KAIA *","$10,905,770 ",-0.09%,-2.77%,-3.00%,
93,Raydium,RAY,"$568,954,701 ",$1.95 ,"290,814,662 RAY *","$85,968,703 ",1.11%,-2.53%,15.82%,
94,Bitcoin SV,BSV,"$568,148,031 ",$28.62 ,"19,850,963 BSV","$49,301,454 ",0.60%,-1.89%,-1.92%,
95,Flow,FLOW,"$560,296,717 ",$0.36 ,"1,575,494,182 FLOW *","$15,661,496 ",0.64%,-2.19%,-1.58%,
96,PancakeSwap,CAKE,"$559,774,247 ",$1.89 ,"296,141,935 CAKE *","$65,599,332 ",-1.71%,-7.73%,11.60%,
97,FLOKI,FLOKI,"$555,030,513 ",$0.00 ,"9,625,425,957,074 FLOKI *","$101,813,916 ",0.33%,-0.45%,9.59%,
98,Tezos,XTZ,"$546,765,707 ",$0.53 ,"1,038,974,647 XTZ *","$31,127,236 ",-0.31%,-4.41%,-17.20%,
99,Jito,JTO,"$545,943,068 ",$1.72 ,"316,006,282 JTO *","$21,624,815 ",0.46%,-5.38%,4.82%,
100,Pendle,PENDLE,"$533,410,836 ",$3.30 ,"161,627,467 PENDLE *","$79,790,976 ",0.56%,-2.45%,11.93%,
101,Zcash,ZEC,"$519,134,334 ",$32.67 ,"15,886,821 ZEC","$91,147,462 ",0.34%,-7.37%,-13.93%,
102,Core,CORE,"$515,748,084 ",$0.52 ,"998,995,290 CORE *","$19,094,310 ",0.31%,-4.96%,22.94%,
103,Ethereum Name Service,ENS,"$514,641,743 ",$14.36 ,"35,831,981 ENS *","$36,571,376 ",0.31%,-3.90%,-1.89%,
104,Decentraland,MANA,"$503,417,452 ",$0.26 ,"1,942,255,184 MANA *","$43,067,398 ",0.22%,-2.25%,9.57%,
105,TrueUSD,TUSD,"$494,533,495 ",$1.00 ,"495,516,083 TUSD *","$51,628,376 ",-0.01%,-0.01%,-0.07%,
106,SPX6900,SPX,"$488,705,183 ",$0.52 ,"930,993,090 SPX *","$40,126,135 ",-1.16%,-6.63%,16.28%,
107,Pyth Network,PYTH,"$481,772,325 ",$0.13 ,"3,624,987,792 PYTH *","$22,723,898 ",0.52%,-2.46%,6.20%,
108,dogwifhat,WIF,"$462,674,393 ",$0.46 ,"998,840,819 WIF *","$232,994,405 ",0.24%,5.32%,28.39%,
109,Kava,KAVA,"$456,412,509 ",$0.42 ,"1,082,853,469 KAVA *","$14,925,562 ",0.16%,-2.26%,4.87%,
110,Berachain,BERA,"$434,279,541 ",$4.04 ,"107,480,000 BERA *","$76,727,110 ",0.15%,-5.00%,-26.61%,
